id,rep_id,customer_id,deal_name,stage,amount,probability,expected_close_date,product_category,quantity_estimate,competitor,loss_reason,notes
DEAL031,REP005,CUST007,関西フードサービス株式会社 季節商品,失注,4500000,0,2025-06-29,ドライTシャツ・ヘビーウェイトTシャツ,10000,トムス,カラーバリエーションが先方の要望に合わなかった。,関西フードサービス株式会社との季節商品。
DEAL032,REP005,,未登録顧客 定期発注Q2,失注,3000000,0,2025-10-25,,3000,ジャージーズ,先方の予算縮小により案件自体が中止。,未登録顧客との定期発注Q2。
DEAL033,REP005,CUST007,関西フードサービス株式会社 定期発注Q2,提案中,,,2026-08-09,Tシャツ・ポロシャツ,50000,Hanes,,関西フードサービス株式会社との定期発注Q2。
DEAL034,REP005,CUST007,関西フードサービス株式会社 ユニフォーム,失注,4500000,0,2025-11-16,ヘビーウェイトTシャツ,2000,地元業者,先方の予算縮小により案件自体が中止。,関西フードサービス株式会社とのユニフォーム。
DEAL035,REP005,CUST026,西日本物流株式会社 PB商品,見積提出,,,2026-06-05,ドライTシャツ・ヘビーウェイトTシャツ,15000,地元業者,,西日本物流株式会社とのPB商品。
DEAL036,REP006,CUST009,京都織物工業株式会社 新規提案,提案中,2400000,65,2026-09-12,スウェット・パーカー,50000,ギルダン,,京都織物工業株式会社との新規提案。
DEAL037,REP006,CUST016,株式会社名古屋テキスタイル 夏季キャンペーン,受注,18000000,100,2025-02-17,ドライTシャツ,1500,Hanes,,株式会社名古屋テキスタイルとの夏季キャンペーン。大口案件。
DEAL038,REP006,,未登録顧客 イベント案件,リード,12000000,80,2026-05-08,ドライTシャツ・ヘビーウェイトTシャツ,8000,Hanes,,未登録顧客とのイベント案件。大口案件。
DEAL039,REP006,,未登録顧客 ユニフォーム,受注,2800000,100,2026-02-03,ドライTシャツ,50000,,,未登録顧客とのユニフォーム。
DEAL040,REP006,,未登録顧客 PB商品,初回提案,800000,70,2026-06-08,Tシャツ・ポロシャツ,8000,,,未登録顧客とのPB商品。
DEAL041,REP006,CUST016,株式会社名古屋テキスタイル 入札案件,見積提出,1500000,70,2026-11-17,Tシャツ・ポロシャツ,1500,,,株式会社名古屋テキスタイルとの入札案件。
DEAL042,REP006,,未登録顧客 リニューアル案件,提案中,3500000,60,,スウェット・パーカー,50000,ギルダン,,未登録顧客とのリニューアル案件。
DEAL043,REP006,CUST012,デジタルプリントジャパン株式会社 夏季キャンペーン,交渉中,8000000,20,2026-07-15,ドライTシャツ・ヘビーウェイトTシャツ,,,,デジタルプリントジャパン株式会社との夏季キャンペーン。
DEAL044,REP006,CUST012,デジタルプリントジャパン株式会社 夏季キャンペーン,提案中,8000000,65,2026-07-22,スウェット・パーカー,20000,,,デジタルプリントジャパン株式会社との夏季キャンペーン。
DEAL045,REP007,CUST010,中国地方建設業協同組合 下期ユニフォーム,失注,9000000,0,2025-01-14,ドライTシャツ・ヘビーウェイトTシャツ,,,競合が先行してサンプル提出済みで、品質確認も完了していたため逆転困難。,中国地方建設業協同組合との下期ユニフォーム。
DEAL046,REP007,,未登録顧客 入札案件,見積提出,500000,50,2026-10-12,スウェット・パーカー,5000,ギルダン,,未登録顧客との入札案件。
DEAL047,REP007,CUST030,岡山デニムストリート PB商品,交渉中,5000000,40,2026-05-06,ドライTシャツ,200,プリントスター社,,岡山デニムストリートとのPB商品。
DEAL048,REP007,CUST015,四国メディカルサプライ株式会社 定期発注Q2,受注,8000000,100,2025-08-27,ポロシャツ,15000,ギルダン,,四国メディカルサプライ株式会社との定期発注Q2。
DEAL049,REP007,CUST010,中国地方建設業協同組合 イベント案件,失注,1200000,0,2025-10-24,Tシャツ・ポロシャツ,5000,Hanes,価格で劣後。競合の見積りが当社より約8%安かった。,中国地方建設業協同組合とのイベント案件。
DEAL050,REP007,,未登録顧客 夏季キャンペーン,受注,8000000,100,2025-02-22,ポロシャツ,15000,ギルダン,,未登録顧客との夏季キャンペーン。
DEAL051,REP007,CUST030,岡山デニムストリート 下期ユニフォーム,受注,18000000,100,2025-09-30,ポロシャツ,,ジャージーズ,,岡山デニムストリートとの下期ユニフォーム。大口案件。
DEAL052,REP008,CUST020,株式会社沖縄リゾートマネジメント 夏季キャンペーン,リード,5000000,90,2026-11-22,ドライTシャツ・ヘビーウェイトTシャツ,10000,,,株式会社沖縄リゾートマネジメントとの夏季キャンペーン。
DEAL053,REP008,CUST029,株式会社福岡ワーカーズ 季節商品,交渉中,5000000,40,2026-05-15,Tシャツ・ポロシャツ,5000,トムス,,株式会社福岡ワーカーズとの季節商品。
DEAL054,REP008,CUST020,株式会社沖縄リゾートマネジメント リニューアル案件,初回提案,2400000,60,2026-08-11,ポロシャツ,10000,ギルダン,,株式会社沖縄リゾートマネジメントとのリニューアル案件。
DEAL055,REP008,CUST020,株式会社沖縄リゾートマネジメント 下期ユニフォーム,見積提出,2400000,70,,スウェット・パーカー,2000,ジャージーズ,,株式会社沖縄リゾートマネジメントとの下期ユニフォーム。
DEAL056,REP008,CUST029,株式会社福岡ワーカーズ 追加発注,提案中,18000000,60,2026-09-28,ヘビーウェイトTシャツ,3000,,,株式会社福岡ワーカーズとの追加発注。大口案件。
DEAL057,REP008,CUST029,株式会社福岡ワーカーズ 入札案件,初回提案,2400000,70,2026-08-20,ポロシャツ,1500,Hanes,,株式会社福岡ワーカーズとの入札案件。
